,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,mql_id,sr_id,business_segment,lead_type,has_company,business_type,total_order_value,seller_zip_code_prefix,seller_city,seller_state,product_category_name_english,first_contact_date,landing_page_id,origin
9,0005f50442cb953dcd1d21e1fb923495,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-06 14:10:56,53.99,11.4,cfccca319397a5ea2bb11bd90b0d925d,9e4d1098a3b0f5da39b0bc48f9876645,books,online_big,,reseller,65.39,2274,sao paulo,SP,books_technical,2018-04-17,5dc848e7dd9418dffe183215b8ff0bc1,paid_search
45,001ac194d4a326a6fa99b581e9a3d963,1,dbaee28f4ee64465838a229582d77520,ffc470761de7d0232558ba5e786e57b7,2018-07-10 02:51:10,54.0,8.54,115f08592f4c2bb29013efbbc46608fc,4ef15afb4b2723d8f3d81e51ec7afefe,construction_tools_house_garden,online_big,,reseller,62.54,7091,guarulhos,SP,construction_tools_construction,2018-01-15,b76ef37428e6799c421989521c0e5077,unknown
71,0029f17cf0e7640c5cb6825af681303f,1,01c666c82f414c762ad21bffa56e8b49,d3dcf0604eabf0224fbd5948b5e02f69,2018-05-08 12:14:52,94.9,18.54,31aa9651503a33c7f28f2a6e4d46b6e0,4ef15afb4b2723d8f3d81e51ec7afefe,music_instruments,online_medium,,reseller,113.44,3654,sao paulo,SP,toys,2018-01-12,b76ef37428e6799c421989521c0e5077,unknown
90,00335f75ea6a4455b524a8dd177067f5,1,e1bf2f209fd2b08e1af3ed71732d9008,70c27847eca8195c983ed7e798c56743,2018-05-02 22:10:29,168.8,8.21,fc4166d1b1e192f650ee2d807b54c943,4ef15afb4b2723d8f3d81e51ec7afefe,pet,online_small,,reseller,177.01000000000002,20930,rio de janeiro,RJ,pet_shop,2018-01-16,88740e65d5d6b056e0cda098e1ea6313,social
94,00345f338696283410b7977d2e3efc89,1,0f2fd0a589cb7849c1dbedbd4109c2f8,516e7738bd8f735ac19a010ee5450d8d,2018-08-23 15:11:40,48.9,18.44,e0bcbf50b9afa71ee130b94dfe8bcf2e,495d4e95a8cf8bbf8b432b612a2aa328,health_beauty,online_small,,reseller,67.34,22230,rio de janeiro,RJ,health_beauty,2018-05-02,1ceb590cd1e00c7ee95220971f82693d,paid_search
101,003822434f91204da0a51fe4cf2aba18,1,99e71b776debf2f01a69dce207e3e4f8,c54679b132454625907c773d273d4126,2018-06-21 02:30:28,69.0,18.58,428a96d781ccb96d757bbf82f8242d95,4ef15afb4b2723d8f3d81e51ec7afefe,health_beauty,online_medium,,manufacturer,87.58,11443,guaruja,SP,perfumery,2018-01-03,65d9f9d71e562365e8b44037c2888d98,paid_search
102,003822434f91204da0a51fe4cf2aba18,2,99e71b776debf2f01a69dce207e3e4f8,c54679b132454625907c773d273d4126,2018-06-21 02:30:28,69.0,18.58,428a96d781ccb96d757bbf82f8242d95,4ef15afb4b2723d8f3d81e51ec7afefe,health_beauty,online_medium,,manufacturer,175.16,11443,guaruja,SP,perfumery,2018-01-03,65d9f9d71e562365e8b44037c2888d98,paid_search
114,00404fa7a687c8c44ca69d42695aae73,1,53b36df67ebb7c41585e8d54d6772e08,7d13fca15225358621be4086e1eb0964,2018-05-15 04:31:26,99.9,0.0,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,99.9,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
127,004b62108b876867938746ad3154167f,1,c589625c8ccc7bfd2e8f1fb041e24c4a,c70c1b0d8ca86052f45a432a38b73958,2018-07-10 05:31:03,110.32,8.03,7b6ad2297d3beb569ddf3ee1ce22ffa8,060c0a26f19f4d66b42e0d8796688490,health_beauty,online_medium,,reseller,118.35,13186,hortolandia,SP,health_beauty,2018-03-13,22c29808c4f815213303f8933030604c,paid_search
137,00526a9d4ebde463baee25f386963ddc,1,0c4a0f8ab44f9acd2d04e7024f9ba362,7210cd29727d674c00741e5e387b3ccd,2018-08-14 22:15:22,33.89,8.4,d4db78e389387c2d6f0b5404cbc61fc5,de63de0d10a6012430098db33c679b0b,car_accessories,online_medium,,reseller,42.29,3279,sao paulo,SP,food,2018-04-02,58326e62183c14b0c03085c33b9fdc44,social
